intersectional_id,exaggeration
Unmarked_Male_CEO,0.85133415
Unmarked_Male_Doctor,0.8885009
Unmarked_Male_Lawyer,0.90599024
Unmarked_Male_Nurse,0.8696516
Unmarked_Male_Teacher,0.88991934
Unmarked_Male_Accountant,0.84703356
Unmarked_Male_Cleaner,0.87198865
Unmarked_Male_Mechanic,0.80241466
Unmarked_Male_Cashier,0.82328826
Unmarked_Female_CEO,0.9025987
Unmarked_Female_Doctor,0.91208357
Unmarked_Female_Lawyer,0.8832975
Unmarked_Female_Nurse,0.858236
Unmarked_Female_Teacher,0.9056886
Unmarked_Female_Accountant,0.82737976
Unmarked_Female_Cleaner,0.88050205
Unmarked_Female_Mechanic,0.87166613
Unmarked_Female_Cashier,0.8702615
